Step,Seg 164,Seg 176,Seg 181,Seg 186,Seg 187,Seg 190,Seg 191,Seg 192,Seg 198,Seg 200,Seg 201,Seg 203,Seg 209,Seg 217,Seg 220,Seg 223,Seg 234,Seg 254,Seg 257,Seg 264,Seg 303,Seg 304,Seg 308,Seg 314,Seg 315,Seg 316,Seg 317,Seg 318,Seg 319,Seg 320,Seg 321,Seg 469,Seg 470,Seg 471,Seg 472,Seg 483,Seg 492,Seg 497,Seg 500,Seg 505,Seg 510,Seg 514,Seg 515,Seg 527,Seg 532,Seg 538,Seg 539,Seg 540,Seg 541,Seg 559,Seg 585,Seg 586,Seg 589,Seg 640,Seg 641,Seg 642,Seg 643,Seg 644,Seg 645,Seg 646,Seg 647,Seg 648,Seg 815,Seg 817,Seg 818,Seg 819,Seg 820,Seg 822,Seg 827,Seg 836,Seg 839,Seg 840,Seg 845,Seg 851,Seg 852,Seg 855,Seg 859,Seg 860,Seg 861,Seg 874,Seg 926,Seg 949,Seg 954,Seg 989,Seg 990,Seg 991,Seg 992,Seg 993,Seg 994,Seg 995,Seg 996,Seg 997,Seg 998,Seg 999,Seg 1000,Seg 1001,Seg 1162,Seg 1163,Seg 1164,Seg 1181,Seg 1185,Seg 1186,Seg 1194,Seg 1195,Seg 1200,Seg 1203,Seg 1205,Seg 1230,Seg 1252,Seg 1257,Seg 1264,Seg 1281,Seg 1288,Seg 1289,Seg 1290,Seg 1296,Seg 1300,Seg 1308,Seg 1310,Seg 1313,Seg 1325,Seg 1329,Seg 1330,Seg 1331,Seg 1332,Seg 1334,Seg 1335,Seg 1336,Seg 1337,Seg 1339,Seg 1340,Seg 1341,Seg 1488,Seg 1489,Seg 1490,Seg 1491,Seg 1492,Seg 1493,Seg 1499,Seg 1503,Seg 1504,Seg 1508,Seg 1509,Seg 1510,Seg 1511,Seg 1513,Seg 1514,Seg 1517,Seg 1519,Seg 1522,Seg 1533,Seg 1534,Seg 1540,Seg 1541,Seg 1546,Seg 1552,Seg 1590,Seg 1626,Seg 1635,Seg 1640,Seg 1648,Seg 1659,Seg 1660,Seg 1661,Seg 1662,Seg 1663,Seg 1664,Seg 1667,Seg 1668,Seg 1669,Seg 1670,Seg 1671,Seg 1672,Seg 1673,Seg 1676,Seg 1677,Seg 1838,Seg 1840,Seg 1854,Seg 1855,Seg 1859,Seg 1863,Seg 1866,Seg 1868,Seg 1872,Seg 1875,Seg 1876,Seg 1877,Seg 1879,Seg 1880,Seg 1881,Seg 1882,Seg 1888,Seg 1889,Seg 1891,Seg 1948,Seg 1977,Seg 1978,Seg 1983,Seg 2006,Seg 2018,Seg 2019,Seg 2022,Seg 2023,Seg 2025,Seg 2027,Seg 2028,Seg 2029,Seg 2030,Seg 2031,Seg 2032,Seg 2033,Seg 2120,Seg 2121,Seg 2122,Seg 2129,Seg 2131,Seg 2138,Seg 2139,Seg 2140,Seg 2142,Seg 2160,Seg 2174,Seg 2185,Seg 2187,Seg 2193,Seg 2214,Seg 2215,Seg 2216,
1,2,1,1,2,3,2,4,6,4,4,5,7,3,7,4,4,4,5,3,1,5,3,3,8,3,7,4,4,2,5,2,7,3,5,3,3,2,4,4,5,6,2,6,3,6,9,2,4,4,4,2,6,1,6,5,10,3,5,2,6,1,8,9,4,2,11,4,6,4,3,5,6,1,4,5,5,1,4,4,1,3,6,7,3,2,7,1,4,4,4,5,3,4,5,4,6,5,3,3,5,3,7,5,5,4,6,2,6,3,6,3,3,6,4,9,4,3,8,3,5,4,6,4,9,7,5,3,5,7,5,2,4,6,7,1,5,2,5,4,5,5,4,2,1,2,8,4,6,2,4,2,2,3,4,2,4,4,7,4,3,5,3,1,7,6,6,4,3,5,5,9,3,2,2,3,2,5,6,5,5,4,6,4,5,2,6,5,5,3,7,8,5,4,6,5,2,1,3,6,5,6,1,5,4,2,1,6,4,7,5,6,3,4,4,4,4,12,5,7,3,5,7,8,7,5,3,3,4,4,
2,2,1,1,2,3,2,4,6,4,4,5,7,3,7,4,4,4,5,3,1,5,3,3,8,3,7,4,4,2,5,2,7,3,5,3,3,2,4,4,5,6,2,6,3,6,9,2,4,4,4,2,6,1,6,5,10,3,5,2,6,1,8,9,4,2,11,4,6,4,3,5,6,1,4,5,5,1,4,4,1,3,6,7,3,2,7,1,4,4,4,5,3,4,5,4,6,5,3,3,5,3,7,5,5,4,6,2,6,3,6,3,3,6,4,9,4,3,8,3,5,4,6,4,9,7,5,3,5,7,5,2,4,6,7,1,5,2,5,4,5,5,4,2,1,2,8,4,6,2,4,2,2,3,4,2,4,4,7,4,3,5,3,1,7,6,6,4,3,5,5,9,3,2,2,3,2,5,6,5,5,4,6,4,5,2,6,5,5,3,7,8,5,4,6,5,2,1,3,6,5,6,1,5,4,2,1,6,4,7,5,6,3,4,4,4,4,12,5,7,3,5,7,8,7,5,3,3,4,4,
3,2,1,1,2,3,2,4,6,4,4,5,7,3,7,4,4,4,5,3,1,5,3,3,8,3,7,4,4,2,5,2,7,3,5,3,3,2,4,4,5,6,2,6,3,6,9,2,4,4,4,2,6,1,6,5,10,3,5,2,6,1,8,9,4,2,11,4,6,4,3,5,6,1,4,5,5,1,4,4,1,3,6,7,3,2,7,1,4,4,4,5,3,4,5,4,6,5,3,3,5,3,7,5,5,4,6,2,6,3,6,3,3,6,4,9,4,3,8,3,5,4,6,4,9,7,5,3,5,7,5,2,4,6,7,1,5,2,5,4,5,5,4,2,1,2,8,4,6,2,4,2,2,3,4,2,4,4,7,4,3,5,3,1,7,6,6,4,3,5,5,9,3,2,2,3,2,5,6,5,5,4,6,4,5,2,6,5,5,3,7,8,5,4,6,5,2,1,3,6,5,6,1,5,4,2,1,6,4,7,5,6,3,4,4,4,4,12,5,7,3,5,7,8,7,5,3,3,4,4,
4,2,1,1,2,3,2,4,6,4,4,5,7,3,7,4,4,4,5,3,1,5,3,3,8,3,7,4,4,2,5,2,7,3,5,3,3,2,4,4,5,6,2,6,3,6,9,2,4,4,4,2,6,1,6,5,10,3,5,2,6,1,8,9,4,2,11,4,6,4,3,5,6,1,4,5,5,1,4,4,1,3,6,7,3,2,7,1,4,4,4,5,3,4,5,4,6,5,3,3,5,3,7,5,5,4,6,2,6,3,6,3,3,6,4,9,4,3,8,3,5,4,6,4,9,7,5,3,5,7,5,2,4,6,7,1,5,2,5,4,5,5,4,2,1,2,8,4,6,2,4,2,2,3,4,2,4,4,7,4,3,5,3,1,7,6,6,4,3,5,5,9,3,2,2,3,2,5,6,5,5,4,6,4,5,2,6,5,5,3,7,8,5,4,6,5,2,1,3,6,5,6,1,5,4,2,1,6,4,7,5,6,3,4,4,4,4,12,5,7,3,5,7,8,7,5,3,3,4,4,
5,2,1,1,2,3,2,4,6,4,4,5,7,3,7,4,4,4,5,3,1,5,3,3,8,3,7,4,4,2,5,2,7,3,5,3,3,2,4,4,5,6,2,6,3,6,9,2,4,4,4,2,6,1,6,5,10,3,5,2,6,1,8,9,4,2,11,4,6,4,3,5,6,1,4,5,5,1,4,4,1,3,6,7,3,2,7,1,4,4,4,5,3,4,5,4,6,5,3,3,5,3,7,5,5,4,6,2,6,3,6,3,3,6,4,9,4,3,8,3,5,4,6,4,9,7,5,3,5,7,5,2,4,6,7,1,5,2,5,4,5,5,4,2,1,2,8,4,6,2,4,2,2,3,4,2,4,4,7,4,3,5,3,1,7,6,6,4,3,5,5,9,3,2,2,3,2,5,6,5,5,4,6,4,5,2,6,5,5,3,7,8,5,4,6,5,2,1,3,6,5,6,1,5,4,2,1,6,4,7,5,6,3,4,4,4,4,12,5,7,3,5,7,8,7,5,3,3,4,4,
6,2,1,1,2,3,2,4,6,4,4,5,7,3,7,4,4,4,5,3,1,5,3,3,8,3,7,4,4,2,5,2,7,3,5,3,3,2,4,4,5,6,2,6,3,6,9,2,4,4,4,2,6,1,6,5,10,3,5,2,6,1,8,9,4,2,11,4,6,4,3,5,6,1,4,5,5,1,4,4,1,3,6,7,3,2,7,1,4,4,4,5,3,4,5,4,6,5,3,3,5,3,7,5,5,4,6,2,6,3,6,3,3,6,4,9,4,3,8,3,5,4,6,4,9,7,5,3,5,7,5,2,4,6,7,1,5,2,5,4,5,5,4,2,1,2,8,4,6,2,4,2,2,3,4,2,4,4,7,4,3,5,3,1,7,6,6,4,3,5,5,9,3,2,2,3,2,5,6,5,5,4,6,4,5,2,6,5,5,3,7,8,5,4,6,5,2,1,3,6,5,6,1,5,4,2,1,6,4,7,5,6,3,4,4,4,4,12,5,7,3,5,7,8,7,5,3,3,4,4,
7,2,1,1,2,3,2,4,6,4,4,5,7,3,7,4,4,4,5,3,1,5,3,3,8,3,7,4,4,2,5,2,7,3,5,3,3,2,4,4,5,6,2,6,3,6,9,2,4,4,4,2,6,1,6,5,10,3,5,2,6,1,8,9,4,2,11,4,6,4,3,5,6,1,4,5,5,1,4,4,1,3,6,7,3,2,7,1,4,4,4,5,3,4,5,4,6,5,3,3,5,3,7,5,5,4,6,2,6,3,6,3,3,6,4,9,4,3,8,3,5,4,6,4,9,7,5,3,5,7,5,2,4,6,7,1,5,2,5,4,5,5,4,2,1,2,8,4,6,2,4,2,2,3,4,2,4,4,7,4,3,5,3,1,7,6,6,4,3,5,5,9,3,2,2,3,2,5,6,5,5,4,6,4,5,2,6,5,5,3,7,8,5,4,6,5,2,1,3,6,5,6,1,5,4,2,1,6,4,7,5,6,3,4,4,4,4,12,5,7,3,5,7,8,7,5,3,3,4,4,
8,2,1,1,2,3,2,4,6,4,4,5,7,3,7,4,4,4,5,3,1,5,3,3,8,3,7,4,4,2,5,2,7,3,5,3,3,2,4,4,5,6,2,6,3,6,9,2,4,4,4,2,6,1,6,5,10,3,5,2,6,1,8,9,4,2,11,4,6,4,3,5,6,1,4,5,5,1,4,4,1,3,6,7,3,2,7,1,4,4,4,5,3,4,5,4,6,5,3,3,5,3,7,5,5,4,6,2,6,3,6,3,3,6,4,9,4,3,8,3,5,4,6,4,9,7,5,3,5,7,5,2,4,6,7,1,5,2,5,4,5,5,4,2,1,2,8,4,6,2,4,2,2,3,4,2,4,4,7,4,3,5,3,1,7,6,6,4,3,5,5,9,3,2,2,3,2,5,6,5,5,4,6,4,5,2,6,5,5,3,7,8,5,4,6,5,2,1,3,6,5,6,1,5,4,2,1,6,4,7,5,6,3,4,4,4,4,12,5,7,3,5,7,8,7,5,3,3,4,4,
9,2,1,1,2,3,2,4,6,4,4,5,7,3,7,4,4,4,5,3,1,5,3,3,8,3,7,4,4,2,5,2,7,3,5,3,3,2,4,4,5,6,2,6,3,6,9,2,4,4,4,2,6,1,6,5,10,3,5,2,6,1,8,9,4,2,11,4,6,4,3,5,6,1,4,5,5,1,4,4,1,3,6,7,3,2,7,1,4,4,4,5,3,4,5,4,6,5,3,3,5,3,7,5,5,4,6,2,6,3,6,3,3,6,4,9,4,3,8,3,5,4,6,4,9,7,5,3,5,7,5,2,4,6,7,1,5,2,5,4,5,5,4,2,1,2,8,4,6,2,4,2,2,3,4,2,4,4,7,4,3,5,3,1,7,6,6,4,3,5,5,9,3,2,2,3,2,5,6,5,5,4,6,4,5,2,6,5,5,3,7,8,5,4,6,5,2,1,3,6,5,6,1,5,4,2,1,6,4,7,5,6,3,4,4,4,4,12,5,7,3,5,7,8,7,5,3,3,4,4,
10,2,1,1,2,3,2,4,6,4,4,5,7,3,7,4,4,4,5,3,1,5,3,3,8,3,7,4,4,2,5,2,7,3,5,3,3,2,4,4,5,6,2,6,3,6,9,2,4,4,4,2,6,1,6,5,10,3,5,2,6,1,8,9,4,2,11,4,6,4,3,5,6,1,4,5,5,1,4,4,1,3,6,7,3,2,7,1,4,4,4,5,3,4,5,4,6,5,3,3,5,3,7,5,5,4,6,2,6,3,6,3,3,6,4,9,4,3,8,3,5,4,6,4,9,7,5,3,5,7,5,2,4,6,7,1,5,2,5,4,5,5,4,2,1,2,8,4,6,2,4,2,2,3,4,2,4,4,7,4,3,5,3,1,7,6,6,4,3,5,5,9,3,2,2,3,2,5,6,5,5,4,6,4,5,2,6,5,5,3,7,8,5,4,6,5,2,1,3,6,5,6,1,5,4,2,1,6,4,7,5,6,3,4,4,4,4,12,5,7,3,5,7,8,7,5,3,3,4,4,
11,2,1,1,2,3,2,4,6,4,4,5,7,3,7,4,4,4,5,3,1,5,3,3,8,3,7,4,4,2,5,2,7,3,5,3,3,2,4,4,5,6,2,6,3,6,9,2,4,4,4,2,6,1,6,5,10,3,5,2,6,1,8,9,4,2,11,4,6,4,3,5,6,1,4,5,5,1,4,4,1,3,6,7,3,2,7,1,4,4,4,5,3,4,5,4,6,5,3,3,5,3,7,5,5,4,6,2,6,3,6,3,3,6,4,9,4,3,8,3,5,4,6,4,9,7,5,3,5,7,5,2,4,6,7,1,5,2,5,4,5,5,4,2,1,2,8,4,6,2,4,2,2,3,4,2,4,4,7,4,3,5,3,1,7,6,6,4,3,5,5,9,3,2,2,3,2,5,6,5,5,4,6,4,5,2,6,5,5,3,7,8,5,4,6,5,2,1,3,6,5,6,1,5,4,2,1,6,4,7,5,6,3,4,4,4,4,12,5,7,3,5,7,8,7,5,3,3,4,4,
12,2,1,1,2,3,2,4,6,4,4,5,7,3,7,4,4,4,5,3,1,5,3,3,8,3,7,4,4,2,5,2,7,3,5,3,3,2,4,4,5,6,2,6,3,6,9,2,4,4,4,2,6,1,6,5,10,3,5,2,6,1,8,9,4,2,11,4,6,4,3,5,6,1,4,5,5,1,4,4,1,3,6,7,3,2,7,1,4,4,4,5,3,4,5,4,6,5,3,3,5,3,7,5,5,4,6,2,6,3,6,3,3,6,4,9,4,3,8,3,5,4,6,4,9,7,5,3,5,7,5,2,4,6,7,1,5,2,5,4,5,5,4,2,1,2,8,4,6,2,4,2,2,3,4,2,4,4,7,4,3,5,3,1,7,6,6,4,3,5,5,9,3,2,2,3,2,5,6,5,5,4,6,4,5,2,6,5,5,3,7,8,5,4,6,5,2,1,3,6,5,6,1,5,4,2,1,6,4,7,5,6,3,4,4,4,4,12,5,7,3,5,7,8,7,5,3,3,4,4,
13,2,1,1,2,3,2,4,6,4,4,5,7,3,7,4,4,4,5,3,1,5,3,3,8,3,7,4,4,2,5,2,7,3,5,3,3,2,4,4,5,6,2,6,3,6,9,2,4,4,4,2,6,1,6,5,10,3,5,2,6,1,8,9,4,2,11,4,6,4,3,5,6,1,4,5,5,1,4,4,1,3,6,7,3,2,7,1,4,4,4,5,3,4,5,4,6,5,3,3,5,3,7,5,5,4,6,2,6,3,6,3,3,6,4,9,4,3,8,3,5,4,6,4,9,7,5,3,5,7,5,2,4,6,7,1,5,2,5,4,5,5,4,2,1,2,8,4,6,2,4,2,2,3,4,2,4,4,7,4,3,5,3,1,7,6,6,4,3,5,5,9,3,2,2,3,2,5,6,5,5,4,6,4,5,2,6,5,5,3,7,8,5,4,6,5,2,1,3,6,5,6,1,5,4,2,1,6,4,7,5,6,3,4,4,4,4,12,5,7,3,5,7,8,7,5,3,3,4,4,
14,2,1,1,2,3,2,4,6,4,4,5,7,3,7,4,4,4,5,3,1,5,3,3,8,3,7,4,4,2,5,2,7,3,5,3,3,2,4,4,5,6,2,6,3,6,9,2,4,4,4,2,6,1,6,5,10,3,5,2,6,1,8,9,4,2,11,4,6,4,3,5,6,1,4,5,5,1,4,4,1,3,6,7,3,2,7,1,4,4,4,5,3,4,5,4,6,5,3,3,5,3,7,5,5,4,6,2,6,3,6,3,3,6,4,9,4,3,8,3,5,4,6,4,9,7,5,3,5,7,5,2,4,6,7,1,5,2,5,4,5,5,4,2,1,2,8,4,6,2,4,2,2,3,4,2,4,4,7,4,3,5,3,1,7,6,6,4,3,5,5,9,3,2,2,3,2,5,6,5,5,4,6,4,5,2,6,5,5,3,7,8,5,4,6,5,2,1,3,6,5,6,1,5,4,2,1,6,4,7,5,6,3,4,4,4,4,12,5,7,3,5,7,8,7,5,3,3,4,4,
15,2,1,1,2,3,2,4,6,4,4,5,7,3,7,4,4,4,5,3,1,5,3,3,8,3,7,4,4,2,5,2,7,3,5,3,3,2,4,4,5,6,2,6,3,6,9,2,4,4,4,2,6,1,6,5,10,3,5,2,6,1,8,9,4,2,11,4,6,4,3,5,6,1,4,5,5,1,4,4,1,3,6,7,3,2,7,1,4,4,4,5,3,4,5,4,6,5,3,3,5,3,7,5,5,4,6,2,6,3,6,3,3,6,4,9,4,3,8,3,5,4,6,4,9,7,5,3,5,7,5,2,4,6,7,1,5,2,5,4,5,5,4,2,1,2,8,4,6,2,4,2,2,3,4,2,4,4,7,4,3,5,3,1,7,6,6,4,3,5,5,9,3,2,2,3,2,5,6,5,5,4,6,4,5,2,6,5,5,3,7,8,5,4,6,5,2,1,3,6,5,6,1,5,4,2,1,6,4,7,5,6,3,4,4,4,4,12,5,7,3,5,7,8,7,5,3,3,4,4,
16,2,1,1,2,3,2,4,6,4,4,5,7,3,7,4,4,4,5,3,1,5,3,3,8,3,7,4,4,2,5,2,7,3,5,3,3,2,4,4,5,6,2,6,3,6,9,2,4,4,4,2,6,1,6,5,10,3,5,2,6,1,8,9,4,2,11,4,6,4,3,5,6,1,4,5,5,1,4,4,1,3,6,7,3,2,7,1,4,4,4,5,3,4,5,4,6,5,3,3,5,3,7,5,5,4,6,2,6,3,6,3,3,6,4,9,4,3,8,3,5,4,6,4,9,7,5,3,5,7,5,2,4,6,7,1,5,2,5,4,5,5,4,2,1,2,8,4,6,2,4,2,2,3,4,2,4,4,7,4,3,5,3,1,7,6,6,4,3,5,5,9,3,2,2,3,2,5,6,5,5,4,6,4,5,2,6,5,5,3,7,8,5,4,6,5,2,1,3,6,5,6,1,5,4,2,1,6,4,7,5,6,3,4,4,4,4,12,5,7,3,5,7,8,7,5,3,3,4,4,
17,2,1,1,2,3,2,4,6,4,4,5,7,3,7,4,4,4,5,3,1,5,3,3,8,3,7,4,4,2,5,2,7,3,5,3,3,2,4,4,5,6,2,6,3,6,9,2,4,4,4,2,6,1,6,5,10,3,5,2,6,1,8,9,4,2,11,4,6,4,3,5,6,1,4,5,5,1,4,4,1,3,6,7,3,2,7,1,4,4,4,5,3,4,5,4,6,5,3,3,5,3,7,5,5,4,6,2,6,3,6,3,3,6,4,9,4,3,8,3,5,4,6,4,9,7,5,3,5,7,5,2,4,6,7,1,5,2,5,4,5,5,4,2,1,2,8,4,6,2,4,2,2,3,4,2,4,4,7,4,3,5,3,1,7,6,6,4,3,5,5,9,3,2,2,3,2,5,6,5,5,4,6,4,5,2,6,5,5,3,7,8,5,4,6,5,2,1,3,6,5,6,1,5,4,2,1,6,4,7,5,6,3,4,4,4,4,12,5,7,3,5,7,8,7,5,3,3,4,4,
18,2,1,1,2,3,2,4,6,4,4,5,7,3,7,4,4,4,5,3,1,5,3,3,8,3,7,4,4,2,5,2,7,3,5,3,3,2,4,4,5,6,2,6,3,6,9,2,4,4,4,2,6,1,6,5,10,3,5,2,6,1,8,9,4,2,11,4,6,4,3,5,6,1,4,5,5,1,4,4,1,3,6,7,3,2,7,1,4,4,4,5,3,4,5,4,6,5,3,3,5,3,7,5,5,4,6,2,6,3,6,3,3,6,4,9,4,3,8,3,5,4,6,4,9,7,5,3,5,7,5,2,4,6,7,1,5,2,5,4,5,5,4,2,1,2,8,4,6,2,4,2,2,3,4,2,4,4,7,4,3,5,3,1,7,6,6,4,3,5,5,9,3,2,2,3,2,5,6,5,5,4,6,4,5,2,6,5,5,3,7,8,5,4,6,5,2,1,3,6,5,6,1,5,4,2,1,6,4,7,5,6,3,4,4,4,4,12,5,7,3,5,7,8,7,5,3,3,4,4,
19,2,1,1,2,3,2,4,6,4,4,5,7,3,7,4,4,4,5,3,1,5,3,3,8,3,7,4,4,2,5,2,7,3,5,3,3,2,4,4,5,6,2,6,3,6,9,2,4,4,4,2,6,1,6,5,10,3,5,2,6,1,8,9,4,2,11,4,6,4,3,5,6,1,4,5,5,1,4,4,1,3,6,7,3,2,7,1,4,4,4,5,3,4,5,4,6,5,3,3,5,3,7,5,5,4,6,2,6,3,6,3,3,6,4,9,4,3,8,3,5,4,6,4,9,7,5,3,5,7,5,2,4,6,7,1,5,2,5,4,5,5,4,2,1,2,8,4,6,2,4,2,2,3,4,2,4,4,7,4,3,5,3,1,7,6,6,4,3,5,5,9,3,2,2,3,2,5,6,5,5,4,6,4,5,2,6,5,5,3,7,8,5,4,6,5,2,1,3,6,5,6,1,5,4,2,1,6,4,7,5,6,3,4,4,4,4,12,5,7,3,5,7,8,7,5,3,3,4,4,
20,2,1,1,2,3,2,4,6,4,4,5,7,3,7,4,4,4,5,3,1,5,3,3,8,3,7,4,4,2,5,2,7,3,5,3,3,2,4,4,5,6,2,6,3,6,9,2,4,4,4,2,6,1,6,5,10,3,5,2,6,1,8,9,4,2,11,4,6,4,3,5,6,1,4,5,5,1,4,4,1,3,6,7,3,2,7,1,4,4,4,5,3,4,5,4,6,5,3,3,5,3,7,5,5,4,6,2,6,3,6,3,3,6,4,9,4,3,8,3,5,4,6,4,9,7,5,3,5,7,5,2,4,6,7,1,5,2,5,4,5,5,4,2,1,2,8,4,6,2,4,2,2,3,4,2,4,4,7,4,3,5,3,1,7,6,6,4,3,5,5,9,3,2,2,3,2,5,6,5,5,4,6,4,5,2,6,5,5,3,7,8,5,4,6,5,2,1,3,6,5,6,1,5,4,2,1,6,4,7,5,6,3,4,4,4,4,12,5,7,3,5,7,8,7,5,3,3,4,4,
21,2,1,1,2,3,2,4,6,4,4,5,7,3,7,4,4,4,5,3,1,5,3,3,8,3,7,4,4,2,5,2,7,3,5,3,3,2,4,4,5,6,2,6,3,6,9,2,4,4,4,2,6,1,6,5,10,3,5,2,6,1,8,9,4,2,11,4,6,4,3,5,6,1,4,5,5,1,4,4,1,3,6,7,3,2,7,1,4,4,4,5,3,4,5,4,6,5,3,3,5,3,7,5,5,4,6,2,6,3,6,3,3,6,4,9,4,3,8,3,5,4,6,4,9,7,5,3,5,7,5,2,4,6,7,1,5,2,5,4,5,5,4,2,1,2,8,4,6,2,4,2,2,3,4,2,4,4,7,4,3,5,3,1,7,6,6,4,3,5,5,9,3,2,2,3,2,5,6,5,5,4,6,4,5,2,6,5,5,3,7,8,5,4,6,5,2,1,3,6,5,6,1,5,4,2,1,6,4,7,5,6,3,4,4,4,4,12,5,7,3,5,7,8,7,5,3,3,4,4,
